id,fen,shadow_depth,shadow_nodes,shadow_cand,shadow_app,shadow_cut,shadow_vpass,shadow_score,aggr_depth,aggr_nodes,aggr_cand,aggr_app,aggr_cut,aggr_vpass,aggr_score
WAC.161,3r3k/3r1P1p/pp1Nn3/2pp4/7Q/6R1/Pq4PP/5RK1 w - - 0 1,13,109866,139,0,0,0,5,13,115952,133,133,94,94,5
WAC.209,4kb1r/2q2p2/r2p4/pppBn1B1/P6P/6Q1/1PP5/2KRR3 w k - 0 1,11,152319,24,0,0,0,518,11,139141,24,24,23,23,518
WAC.252,1rb1r1k1/p1p2ppp/5n2/2pP4/5P2/2QB4/qNP3PP/2KRB2R b - - 0 1,15,739973,627,0,0,0,924,16,815104,941,940,819,819,318
WAC.244,r6r/pp3ppp/3k1b2/2pb4/B4Pq1/2P1Q3/P5PP/1RBR2K1 w - - 0 1,14,423346,287,0,0,0,454,13,481397,138,138,117,117,493
WAC.269,2kr2nr/pp1n1ppp/2p1p3/q7/1b1P1B2/P1N2Q1P/1PP1BPP1/R3K2R w KQ - 0 1,16,914999,975,0,0,0,61,16,685167,853,853,762,762,49
WAC.217,r3kb1r/1pp3p1/p3bp1p/5q2/3QN3/1P6/PBP3P1/3RR1K1 w kq - 0 1,14,354835,346,0,0,0,192,14,385141,367,367,311,311,193
WAC.186,r5r1/p1q2p1k/1p1R2pB/3pP3/6bQ/2p5/P1P1NPPP/6K1 w - - 0 1,12,109372,0,0,0,0,3,12,109372,0,0,0,0,3
WAC.225,4R3/4q1kp/6p1/1Q3b2/1P1b1P2/6KP/8/8 b - - 0 1,16,563918,596,0,0,0,228,15,813140,338,338,308,308,3
WAC.095,2r5/1r6/4pNpk/3pP1qp/8/2P1QP2/5PK1/R7 w - - 0 1,15,525873,177,0,0,0,938,17,999424,602,587,517,517,920
WAC.184,4kn2/r4p1r/p3bQ2/q1nNP1Np/1p5P/8/PPP3P1/2KR3R w - - 0 1,11,80563,0,0,0,0,2,11,80563,0,0,0,0,2
WAC.237,r5k1/pQp2qpp/8/4pbN1/3P4/6P1/PPr4P/1K1R3R b - - 0 1,16,593436,1598,0,0,0,8,16,597481,1606,1606,1408,1408,8
WAC.088,r6k/p1Q4p/2p1b1rq/4p3/B3P3/4P3/PPP3P1/4RRK1 b - - 0 1,15,688519,252,0,0,0,6,14,434295,111,111,92,92,6
WAC.290,2k2r2/2p5/1pq5/p1p1n3/P1P2n1B/1R4Pp/2QR4/6K1 b - - 0 1,16,644625,453,0,0,0,377,17,612057,808,808,754,754,339
WAC.145,r1bq4/1p4kp/3p1n2/p4pB1/2pQ4/8/1P4PP/4RRK1 w - - 0 1,17,791056,1575,0,0,0,367,19,942080,2886,2886,2714,2714,406
WAC.163,5rk1/2p4p/2p4r/3P4/4p1b1/1Q2NqPp/PP3P1K/R4R2 b - - 0 1,15,582593,393,0,0,0,95,15,580727,395,395,359,359,95
WAC.212,rn1qr2Q/pbppk1p1/1p2pb2/4N3/3P4/2N5/PPP3PP/R4RK1 w - - 0 1,13,836597,25,0,0,0,5,13,389012,54,54,52,52,-100
WAC.263,rnbqr2k/pppp1Qpp/8/b2NN3/2B1n3/8/PPPP1PPP/R1B1K2R w KQ - 0 1,15,572864,738,0,0,0,85,15,576259,722,722,655,655,85
WAC.001,2rr3k/pp3pp1/1nnqbN1p/3pN3/2pP4/2P3Q1/PPB4P/R4RK1 w - - 0 1,14,326710,199,0,0,0,2,14,333839,199,199,170,170,2
WAC.247,2k1r3/1p2Bq2/p2Qp3/Pb1p1p1P/2pP1P2/2P5/2P2KP1/1R6 w - - 0 1,18,1023890,2040,0,0,0,124,18,991232,1830,1830,1790,1790,106
WAC.021,5rk1/1b3p1p/pp3p2/3n1N2/1P6/P1qB1PP1/3Q3P/4R1K1 w - - 0 1,17,1093632,1183,0,0,0,351,17,890102,1380,1380,1292,1292,119
