position_id,fen,expected_move,engine_move,test_file
WAC.001,2rr3k/pp3pp1/1nnqbN1p/3pN3/2pP4/2P3Q1/PPB4P/R4RK1 w - - 0 1,Qg6,f6e8,./tests/positions/wacnew.epd
WAC.014,r2rb1k1/pp1q1p1p/2n1p1p1/2bp4/5P2/PP1BPR1Q/1BPN2PP/R5K1 w - - 0 1,Qxh7+,b3b4,./tests/positions/wacnew.epd
WAC.021,5rk1/1b3p1p/pp3p2/3n1N2/1P6/P1qB1PP1/3Q3P/4R1K1 w - - 0 1,Qh6,d2c3,./tests/positions/wacnew.epd
WAC.030,1r3r2/4q1kp/b1pp2p1/5p2/pPn1N3/6P1/P3PPBP/2QRR1K1 w - - 0 1,Nxd6,c1c3,./tests/positions/wacnew.epd
WAC.049,2b3k1/4rrpp/p2p4/2pP2RQ/1pP1Pp1N/1P3P1P/1q6/6RK w - - 0 1,Qxh7+,h5h6,./tests/positions/wacnew.epd
WAC.055,r3r1k1/pp1q1pp1/4b1p1/3p2B1/3Q1R2/8/PPP3PP/4R1K1 w - - 0 1,Qxg7+,f4f1,./tests/positions/wacnew.epd
WAC.071,2kr3r/pp1q1ppp/5n2/1Nb5/2Pp1B2/7Q/P4PPP/1R3RK1 w - - 0 1,Nxa7+,h3d3,./tests/positions/wacnew.epd
WAC.074,5r1k/pp4pp/2p5/2b1P3/4Pq2/1PB1p3/P3Q1PP/3N2K1 b - - 0 1,Qf1+,f8d8,./tests/positions/wacnew.epd
WAC.080,r4rk1/p1B1bpp1/1p2pn1p/8/2PP4/3B1P2/qP2QP1P/3R1RK1 w - - 0 1,Ra1,d4d5,./tests/positions/wacnew.epd
WAC.088,r6k/p1Q4p/2p1b1rq/4p3/B3P3/4P3/PPP3P1/4RRK1 b - - 0 1,Rxg2+,h6g5,./tests/positions/wacnew.epd
WAC.092,r4rk1/1p2ppbp/p2pbnp1/q7/3BPPP1/2N2B2/PPP4P/R2Q1RK1 b - - 0 1,Bxg4,e6c4,./tests/positions/wacnew.epd
WAC.097,6k1/5p2/p5np/4B3/3P4/1PP1q3/P3r1QP/6RK w - - 0 1,Qa8+,e5f4,./tests/positions/wacnew.epd
WAC.131,2rq1bk1/p4p1p/1p4p1/3b4/3B1Q2/8/P4PpP/3RR1K1 w - - 0 1,Re8,d4f6,./tests/positions/wacnew.epd
WAC.141,4r1k1/p1qr1p2/2pb1Bp1/1p5p/3P1n1R/1B3P2/PP3PK1/2Q4R w - - 0 1,Qxf4,g2f1,./tests/positions/wacnew.epd
WAC.145,r1bq4/1p4kp/3p1n2/p4pB1/2pQ4/8/1P4PP/4RRK1 w - - 0 1,Re8,f1f3,./tests/positions/wacnew.epd
WAC.157,5rk1/p4ppp/2p1b3/3Nq3/4P1n1/1p1B2QP/1PPr2P1/1K2R2R w - - 0 1,Ne7+,g3e5,./tests/positions/wacnew.epd
WAC.161,3r3k/3r1P1p/pp1Nn3/2pp4/7Q/6R1/Pq4PP/5RK1 w - - 0 1,Qxd8+,h4h6,./tests/positions/wacnew.epd
WAC.163,5rk1/2p4p/2p4r/3P4/4p1b1/1Q2NqPp/PP3P1K/R4R2 b - - 0 1,Qg2+,c6d5,./tests/positions/wacnew.epd
WAC.167,7Q/ppp2q2/3p2k1/P2Ppr1N/1PP5/7R/5rP1/6K1 b - - 0 1,Rxg2+,f7f8,./tests/positions/wacnew.epd
WAC.180,r1q2rk1/p3bppb/3p1n1p/2nPp3/1p2P1P1/6NP/PP2QPB1/R1BNK2R b KQ - 0 1,Nxd5,c8c7,./tests/positions/wacnew.epd
WAC.183,1r2k1r1/5p2/b3p3/1p2b1B1/3p3P/3B4/PP2KP2/2R3R1 w - - 0 1,Bf6,f2f4,./tests/positions/wacnew.epd
WAC.184,4kn2/r4p1r/p3bQ2/q1nNP1Np/1p5P/8/PPP3P1/2KR3R w - - 0 1,Qe7+,g5h7,./tests/positions/wacnew.epd
WAC.185,1r1rb1k1/2p3pp/p2q1p2/3PpP1Q/Pp1bP2N/1B5R/1P4PP/2B4K w - - 0 1,Qxh7+,h4g6,./tests/positions/wacnew.epd
WAC.186,r5r1/p1q2p1k/1p1R2pB/3pP3/6bQ/2p5/P1P1NPPP/6K1 w - - 0 1,Bf8+,h6g5,./tests/positions/wacnew.epd
WAC.190,8/p2b2kp/1q1p2p1/1P1Pp3/4P3/3B2P1/P2Q3P/2Nn3K b - - 0 1,Bh3,d7g4,./tests/positions/wacnew.epd
WAC.193,5bk1/p4ppp/Qp6/4B3/1P6/Pq2P1P1/2rr1P1P/R4RK1 b - - 0 1,Qxe3,b3d5,./tests/positions/wacnew.epd
WAC.194,5rk1/ppq2ppp/2p5/4bN2/4P3/6Q1/PPP2PPP/3R2K1 w - - 0 1,Nh6+,g3a3,./tests/positions/wacnew.epd
WAC.196,rr4k1/p1pq2pp/Q1n1pn2/2bpp3/4P3/2PP1NN1/PP3PPP/R1B1K2R b KQ - 0 1,Nb4,b8b6,./tests/positions/wacnew.epd
WAC.198,2br2k1/ppp2p1p/4p1p1/4P2q/2P1Bn2/2Q5/PP3P1P/4R1RK b - - 0 1,Rd3,f4e2,./tests/positions/wacnew.epd
WAC.200,2rqrn1k/pb4pp/1p2pp2/n2P4/2P3N1/P2B2Q1/1B3PPP/2R1R1K1 w - - 0 1,Bxf6,d5d6,./tests/positions/wacnew.epd
WAC.204,r1b1qrk1/1p3ppp/p1p5/3Nb3/5N2/P7/1P4PQ/K1R1R3 w - - 0 1,Rxe5,h2h5,./tests/positions/wacnew.epd
