position_id,fen,expected_move,engine_move,test_file
WAC.002,8/7p/5k2/5p2/p1p2P2/Pr1pPK2/1P1R3P/8 b - - 0 1,Rxb2,b3b7,tests/positions/wacnew.epd
WAC.049,2b3k1/4rrpp/p2p4/2pP2RQ/1pP1Pp1N/1P3P1P/1q6/6RK w - - 0 1,Qxh7+,h5h6,tests/positions/wacnew.epd
WAC.055,r3r1k1/pp1q1pp1/4b1p1/3p2B1/3Q1R2/8/PPP3PP/4R1K1 w - - 0 1,Qxg7+,f4f2,tests/positions/wacnew.epd
WAC.071,2kr3r/pp1q1ppp/5n2/1Nb5/2Pp1B2/7Q/P4PPP/1R3RK1 w - - 0 1,Nxa7+,h3d3,tests/positions/wacnew.epd
WAC.080,r4rk1/p1B1bpp1/1p2pn1p/8/2PP4/3B1P2/qP2QP1P/3R1RK1 w - - 0 1,Ra1,d4d5,tests/positions/wacnew.epd
WAC.100,8/k1b5/P4p2/1Pp2p1p/K1P2P1P/8/3B4/8 w - - 0 1,Be3 b6+,a4b3,tests/positions/wacnew.epd
WAC.141,4r1k1/p1qr1p2/2pb1Bp1/1p5p/3P1n1R/1B3P2/PP3PK1/2Q4R w - - 0 1,Qxf4,g2f1,tests/positions/wacnew.epd
WAC.145,r1bq4/1p4kp/3p1n2/p4pB1/2pQ4/8/1P4PP/4RRK1 w - - 0 1,Re8,f1f3,tests/positions/wacnew.epd
WAC.163,5rk1/2p4p/2p4r/3P4/4p1b1/1Q2NqPp/PP3P1K/R4R2 b - - 0 1,Qg2+,c6d5,tests/positions/wacnew.epd
WAC.176,r1bq3r/ppp2pk1/3p1pp1/8/2BbPQ2/2NP2P1/PPP4P/R4R1K b - - 0 1,Rxh2+,d8d7,tests/positions/wacnew.epd
WAC.196,rr4k1/p1pq2pp/Q1n1pn2/2bpp3/4P3/2PP1NN1/PP3PPP/R1B1K2R b KQ - 0 1,Nb4,b8b6,tests/positions/wacnew.epd
WAC.212,rn1qr2Q/pbppk1p1/1p2pb2/4N3/3P4/2N5/PPP3PP/R4RK1 w - - 0 1,Qxg7+,h8h7,tests/positions/wacnew.epd
WAC.213,3r1r1k/1b4pp/ppn1p3/4Pp1R/Pn5P/3P4/4QP2/1qB1NKR1 w - - 0 1,Rxh7+,e2b2,tests/positions/wacnew.epd
WAC.217,r3kb1r/1pp3p1/p3bp1p/5q2/3QN3/1P6/PBP3P1/3RR1K1 w kq - 0 1,Qd7+,e4g3,tests/positions/wacnew.epd
WAC.222,2r1r2k/1q3ppp/p2Rp3/2p1P3/6QB/p3P3/bP3PPP/3R2K1 w - - 0 1,Bf6,b2a3,tests/positions/wacnew.epd
WAC.226,2b2rk1/p1p4p/2p1p1p1/br2N1Q1/1p2q3/8/PB3PPP/3R1RK1 w - - 0 1,Nf7,g5e7,tests/positions/wacnew.epd
WAC.228,r4rk1/1bq1bp1p/4p1p1/p2p4/3BnP2/1N1B3R/PPP3PP/R2Q2K1 w - - 0 1,Bxe4,g2g3,tests/positions/wacnew.epd
WAC.229,8/8/8/1p5r/p1p1k1pN/P2pBpP1/1P1K1P2/8 b - - 0 1,Rxh4 b4,h5h8,tests/positions/wacnew.epd
WAC.230,2b5/1r6/2kBp1p1/p2pP1P1/2pP4/1pP3K1/1R3P2/8 b - - 0 1,Rb4,b7h7,tests/positions/wacnew.epd
WAC.237,r5k1/pQp2qpp/8/4pbN1/3P4/6P1/PPr4P/1K1R3R b - - 0 1,Rc1+,c2c5,tests/positions/wacnew.epd
WAC.241,2rq1rk1/pp3ppp/2n2b2/4NR2/3P4/PB5Q/1P4PP/3R2K1 w - - 0 1,Qxh7+,f5f6,tests/positions/wacnew.epd
WAC.244,r6r/pp3ppp/3k1b2/2pb4/B4Pq1/2P1Q3/P5PP/1RBR2K1 w - - 0 1,Qxc5+,d1d5,tests/positions/wacnew.epd
WAC.256,3r1rk1/1pb1qp1p/2p3p1/p7/P2Np2R/1P5P/1BP2PP1/3Q1BK1 w - - 0 1,Nf5,g2g3,tests/positions/wacnew.epd
WAC.290,2k2r2/2p5/1pq5/p1p1n3/P1P2n1B/1R4Pp/2QR4/6K1 b - - 0 1,Ne2+,f4e6,tests/positions/wacnew.epd
WAC.291,5r1k/3b2p1/p6p/1pRpR3/1P1P2q1/P4pP1/5QnP/1B4K1 w - - 0 1,h3,g1h1,tests/positions/wacnew.epd
WAC.293,1nbq1r1k/3rbp1p/p1p1pp1Q/1p6/P1pPN3/5NP1/1P2PPBP/R4RK1 w - - 0 1,Nfg5,e2e3,tests/positions/wacnew.epd
WAC.297,3r1rk1/p3qp1p/2bb2p1/2p5/3P4/1P6/PBQN1PPP/2R2RK1 b - - 0 1,Bxg2 Bxh2+,f8e8,tests/positions/wacnew.epd
