position_id,expected_move,engine_move,score_off,score_on,delta,king_safety_off,king_safety_on,white_ring,white_outer,white_flank,white_flank_multi,white_shield,white_storm,white_storm_far,white_storm_mid,white_storm_near,white_safe_K,white_safe_B,white_safe_R,white_safe_Q,white_queen_checks,black_ring,black_outer,black_flank,black_flank_multi,black_shield,black_storm,black_storm_far,black_storm_mid,black_storm_near,black_safe_K,black_safe_B,black_safe_R,black_safe_Q,black_queen_checks
WAC.002,Rxb2,b3b7,-244,-228,16,0,16,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,6,1,1,2,2,0,0,0,0,0,0,0
WAC.049,Qxh7+,h5h6,-196,-128,68,-24,44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,2,2
WAC.055,Qxg7+,f4f2,-4,64,68,-8,60,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,1,1
WAC.071,Nxa7+,h3d3,-112,-38,74,19,93,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,1,1
WAC.080,Ra1,d4d5,-18,-2,16,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
WAC.100,Be3 b6+,a4b3,430,454,24,0,24,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,1,1,0,0,0,0,0,0
WAC.141,Qxf4,g2f1,-162,-178,-16,-27,-43,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
WAC.145,Re8,f1f3,63,129,66,38,104,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,1
WAC.163,Qg2+,c6d5,-29,-149,-120,-19,-139,0,0,7,2,1,1,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WAC.176,Rxh2+,d8d7,40,84,44,27,71,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,1
WAC.196,Nb4,b8b6,47,45,-2,-38,-40,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
WAC.212,Qxg7+,h8h7,-167,-65,102,38,140,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1,0,0,0,0,0,2,2
WAC.213,Rxh7+,e2b2,-609,-575,34,-38,-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0
WAC.217,Qd7+,e4g3,-95,-79,16,19,35,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0
WAC.222,Bf6,b2a3,15,15,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,1,1
WAC.226,Nf7,g5e7,-178,-158,20,30,50,0,0,4,1,3,0,0,0,0,0,0,0,1,1,0,0,5,1,1,0,0,0,0,0,0,0,1,1
WAC.228,Bxe4,g2g3,-70,-46,24,-8,16,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
WAC.229,Rxh4 b4,h5h8,-388,-374,14,0,14,0,0,8,2,1,2,1,1,0,0,0,0,0,0,0,0,10,2,0,1,1,0,0,0,0,0,0,0
WAC.230,Rb4,b7h7,-319,-281,38,0,38,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,6,2,0,2,2,0,0,0,0,0,0,0
WAC.237,Rc1+,c2c5,-9,-41,-32,0,-32,0,0,6,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,1,1
WAC.241,Qxh7+,f5f6,13,55,42,-19,23,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,6,1,3,0,0,0,0,0,0,0,1,1
WAC.244,Qxc5+,d1d5,-38,-32,6,38,44,0,0,6,2,2,0,0,0,0,0,0,0,2,2,0,0,10,2,3,1,1,0,0,0,0,0,1,1
WAC.256,Nf5,g2g3,25,17,-8,0,-8,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
WAC.290,Ne2+,f4e6,-88,-118,-30,-19,-49,0,0,7,2,0,1,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
WAC.291,h3,g1h1,175,143,-32,0,-32,0,0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
WAC.293,Nfg5,e2e3,33,141,108,0,108,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3,3
WAC.297,Bxg2 Bxh2+,f8e8,78,88,10,11,21,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1
