Position,Depth,SeaJay,Stash,Komodo,Laser,SeaJay/Stash,SeaJay/Komodo,SeaJay/Laser
Starting,5,4550,328,1394,,,,N/A
Starting,7,14690,2013,5118,,,,N/A
Starting,10,164646,16841,25961,,,,N/A
Middlegame,5,13018,760,1339,,,,N/A
Middlegame,7,35508,1419,5413,,,,N/A
Middlegame,10,316554,8228,39741,,,,N/A
Endgame,5,1947,185,1803,,,,N/A
Endgame,7,11697,665,3706,,,,N/A
Endgame,10,62708,3800,32275,,,,N/A
Tactical,5,2768,674,1440,,,,N/A
Tactical,7,14341,1534,6211,,,,N/A
Tactical,10,159323,33509,30686,,,,N/A
Complex,5,5471,1165,2355,,,,N/A
Complex,7,28868,3747,14630,,,,N/A
Complex,10,200511,30297,105122,,,,N/A
