position_id,fen,expected_moves_san,expected_moves_uci,time_ms,bestmove,bestmove_san,matches_expected,seen_in_pv,info_depth,info_nodes,info_nps,score_type,score
WAC.014,r2rb1k1/pp1q1p1p/2n1p1p1/2bp4/5P2/PP1BPR1Q/1BPN2PP/R5K1 w - - 0 1,Qxh7+,h3h7,100,b3b4,b4,False,False,,,,,
WAC.014,r2rb1k1/pp1q1p1p/2n1p1p1/2bp4/5P2/PP1BPR1Q/1BPN2PP/R5K1 w - - 0 1,Qxh7+,h3h7,850,b3b4,b4,False,False,,,,,
WAC.014,r2rb1k1/pp1q1p1p/2n1p1p1/2bp4/5P2/PP1BPR1Q/1BPN2PP/R5K1 w - - 0 1,Qxh7+,h3h7,2000,b3b4,b4,False,False,,,,,
WAC.021,5rk1/1b3p1p/pp3p2/3n1N2/1P6/P1qB1PP1/3Q3P/4R1K1 w - - 0 1,Qh6,d2h6,100,e1d1,Rd1,False,False,,,,,
WAC.021,5rk1/1b3p1p/pp3p2/3n1N2/1P6/P1qB1PP1/3Q3P/4R1K1 w - - 0 1,Qh6,d2h6,850,d2c3,Qxc3,False,True,,,,,
WAC.021,5rk1/1b3p1p/pp3p2/3n1N2/1P6/P1qB1PP1/3Q3P/4R1K1 w - - 0 1,Qh6,d2h6,2000,d2c3,Qxc3,False,True,,,,,
WAC.030,1r3r2/4q1kp/b1pp2p1/5p2/pPn1N3/6P1/P3PPBP/2QRR1K1 w - - 0 1,Nxd6,e4d6,100,c1c3,Qc3+,False,True,,,,,
WAC.030,1r3r2/4q1kp/b1pp2p1/5p2/pPn1N3/6P1/P3PPBP/2QRR1K1 w - - 0 1,Nxd6,e4d6,850,c1c3,Qc3+,False,True,,,,,
WAC.030,1r3r2/4q1kp/b1pp2p1/5p2/pPn1N3/6P1/P3PPBP/2QRR1K1 w - - 0 1,Nxd6,e4d6,2000,e4d6,Nxd6,True,True,,,,,
WAC.049,2b3k1/4rrpp/p2p4/2pP2RQ/1pP1Pp1N/1P3P1P/1q6/6RK w - - 0 1,Qxh7+,h5h7,100,h5h6,Qh6,False,False,,,,,
WAC.049,2b3k1/4rrpp/p2p4/2pP2RQ/1pP1Pp1N/1P3P1P/1q6/6RK w - - 0 1,Qxh7+,h5h7,850,h5h6,Qh6,False,False,,,,,
WAC.049,2b3k1/4rrpp/p2p4/2pP2RQ/1pP1Pp1N/1P3P1P/1q6/6RK w - - 0 1,Qxh7+,h5h7,2000,h5h6,Qh6,False,False,,,,,
WAC.055,r3r1k1/pp1q1pp1/4b1p1/3p2B1/3Q1R2/8/PPP3PP/4R1K1 w - - 0 1,Qxg7+,d4g7,100,f4f1,Rff1,False,False,,,,,
WAC.055,r3r1k1/pp1q1pp1/4b1p1/3p2B1/3Q1R2/8/PPP3PP/4R1K1 w - - 0 1,Qxg7+,d4g7,850,f4f1,Rff1,False,False,,,,,
WAC.055,r3r1k1/pp1q1pp1/4b1p1/3p2B1/3Q1R2/8/PPP3PP/4R1K1 w - - 0 1,Qxg7+,d4g7,2000,f4f2,Rf2,False,False,,,,,
WAC.071,2kr3r/pp1q1ppp/5n2/1Nb5/2Pp1B2/7Q/P4PPP/1R3RK1 w - - 0 1,Nxa7+,b5a7,100,h3f3,Qf3,False,False,,,,,
WAC.071,2kr3r/pp1q1ppp/5n2/1Nb5/2Pp1B2/7Q/P4PPP/1R3RK1 w - - 0 1,Nxa7+,b5a7,850,h3d3,Qd3,False,False,,,,,
WAC.071,2kr3r/pp1q1ppp/5n2/1Nb5/2Pp1B2/7Q/P4PPP/1R3RK1 w - - 0 1,Nxa7+,b5a7,2000,h3d3,Qd3,False,False,,,,,
WAC.074,5r1k/pp4pp/2p5/2b1P3/4Pq2/1PB1p3/P3Q1PP/3N2K1 b - - 0 1,Qf1+,f4f1,100,f8d8,Rd8,False,True,,,,,
WAC.074,5r1k/pp4pp/2p5/2b1P3/4Pq2/1PB1p3/P3Q1PP/3N2K1 b - - 0 1,Qf1+,f4f1,850,f8d8,Rd8,False,True,,,,,
WAC.074,5r1k/pp4pp/2p5/2b1P3/4Pq2/1PB1p3/P3Q1PP/3N2K1 b - - 0 1,Qf1+,f4f1,2000,f8d8,Rd8,False,True,,,,,
WAC.080,r4rk1/p1B1bpp1/1p2pn1p/8/2PP4/3B1P2/qP2QP1P/3R1RK1 w - - 0 1,Ra1,d1a1,100,d4d5,d5,False,True,,,,,
WAC.080,r4rk1/p1B1bpp1/1p2pn1p/8/2PP4/3B1P2/qP2QP1P/3R1RK1 w - - 0 1,Ra1,d1a1,850,d4d5,d5,False,True,,,,,
WAC.080,r4rk1/p1B1bpp1/1p2pn1p/8/2PP4/3B1P2/qP2QP1P/3R1RK1 w - - 0 1,Ra1,d1a1,2000,d1a1,Ra1,True,True,,,,,
WAC.092,r4rk1/1p2ppbp/p2pbnp1/q7/3BPPP1/2N2B2/PPP4P/R2Q1RK1 b - - 0 1,Bxg4,e6g4,100,e6c4,Bc4,False,False,,,,,
WAC.092,r4rk1/1p2ppbp/p2pbnp1/q7/3BPPP1/2N2B2/PPP4P/R2Q1RK1 b - - 0 1,Bxg4,e6g4,850,e6c4,Bc4,False,True,,,,,
WAC.092,r4rk1/1p2ppbp/p2pbnp1/q7/3BPPP1/2N2B2/PPP4P/R2Q1RK1 b - - 0 1,Bxg4,e6g4,2000,e6c4,Bc4,False,True,,,,,
WAC.097,6k1/5p2/p5np/4B3/3P4/1PP1q3/P3r1QP/6RK w - - 0 1,Qa8+,g2a8,100,e5f4,Bf4,False,True,,,,,
WAC.097,6k1/5p2/p5np/4B3/3P4/1PP1q3/P3r1QP/6RK w - - 0 1,Qa8+,g2a8,850,e5f4,Bf4,False,True,,,,,
WAC.097,6k1/5p2/p5np/4B3/3P4/1PP1q3/P3r1QP/6RK w - - 0 1,Qa8+,g2a8,2000,g2a8,Qa8+,True,True,,,,,
WAC.120,r4rk1/1bn2qnp/3p1B1Q/p2P1pP1/1pp5/5N1P/PPB2P2/2KR3R w - - 0 1,Rhg1 g6,h1g1 g5g6,100,h1e1,Rhe1,False,False,,,,,
WAC.120,r4rk1/1bn2qnp/3p1B1Q/p2P1pP1/1pp5/5N1P/PPB2P2/2KR3R w - - 0 1,Rhg1 g6,h1g1 g5g6,850,f3d4,Nd4,False,True,,,,,
WAC.120,r4rk1/1bn2qnp/3p1B1Q/p2P1pP1/1pp5/5N1P/PPB2P2/2KR3R w - - 0 1,Rhg1 g6,h1g1 g5g6,2000,f3d4,Nd4,False,True,,,,,
